iter	Passed	Remaining
0	225	112520
1	287	71710
2	349	57930
3	412	51211
4	478	47408
5	546	44975
6	618	43561
7	684	42118
8	751	41004
9	821	40241
10	901	40093
11	999	40630
12	1099	41198
13	1235	42890
14	1350	43668
15	1491	45131
16	1628	46264
17	1753	46966
18	1875	47471
19	1976	47424
20	2068	47175
21	2154	46821
22	2236	46373
23	2314	45906
24	2406	45714
25	2499	45569
26	2606	45654
27	2720	45855
28	2838	46095
29	2935	45987
30	3031	45870
31	3131	45796
32	3243	45905
33	3361	46066
34	3499	46498
35	3608	46503
36	3703	46349
37	3797	46175
38	3890	45988
39	3979	45761
40	4067	45530
41	4157	45333
42	4244	45113
43	4332	44905
44	4418	44671
45	4504	44452
46	4606	44399
47	4701	44270
48	4806	44239
49	4900	44107
50	4998	44005
51	5099	43931
52	5193	43803
53	5290	43699
54	5391	43626
55	5485	43488
56	5576	43338
57	5677	43266
58	5756	43026
59	5827	42737
60	5896	42438
61	5969	42169
62	6045	41933
63	6120	41695
64	6194	41453
65	6269	41227
66	6356	41079
67	6454	41004
68	6537	40837
69	6623	40688
70	6704	40507
71	6782	40319
72	6866	40165
73	6956	40047
74	7041	39899
75	7118	39711
76	7186	39481
77	7257	39263
78	7335	39090
79	7427	38993
80	7513	38867
81	7583	38659
82	7651	38442
83	7721	38241
84	7791	38042
85	7859	37836
86	7936	37673
87	8006	37486
88	8083	37331
89	8170	37223
90	8251	37086
91	8328	36934
92	8407	36793
93	8480	36630
94	8555	36472
95	8626	36303
96	8693	36119
97	8765	35954
98	8838	35800
99	8901	35605
100	8969	35432
101	9037	35265
102	9106	35101
103	9176	34942
104	9253	34812
105	9331	34683
106	9403	34537
107	9479	34405
108	9549	34254
109	9613	34085
110	9679	33923
111	9743	33755
112	9812	33605
113	9873	33431
114	9936	33265
115	9999	33100
116	10061	32937
117	10122	32768
118	10180	32594
119	10238	32422
120	10299	32259
121	10360	32101
122	10424	31950
123	10485	31795
124	10547	31643
125	10611	31498
126	10679	31364
127	10747	31233
128	10811	31094
129	10872	30944
130	10929	30786
131	10988	30635
132	11050	30492
133	11115	30359
134	11185	30242
135	11246	30100
136	11320	29994
137	11387	29870
138	11449	29736
139	11509	29597
140	11528	29353
141	11589	29218
142	11648	29080
143	11708	28946
144	11767	28808
145	11828	28680
146	11893	28559
147	11953	28429
148	12014	28301
149	12077	28180
